sentence,artwork,person
Thông điển là bộ sách lịch sử Trung Quốc thời nhà Đường của sử gia Đỗ Hựu.,Thông điển,Đỗ Hựu
Vietnam Inc. là một cuốn sách ảnh được làm và xuất bản bởi Philip Jones Griffiths vào năm 1971.,Vietnam Inc.,Philip Jones Griffiths
"Nho lâm ngoại sử hay còn gọi là Chuyện làng nho là tiểu thuyết chương hồi của Ngô Kính Tử thời nhà Thanh, toàn thư gồm 56 hồi, miêu tả gần hai trăm nhân vật mà hầu hết là nhà Nho, nội dung phê phán và châm biếm sâu cay chế độ khoa cử công danh thời nhà Thanh.",Nho lâm ngoại sử,Ngô Kính Tử
"Bốn khúc tứ tấu – là một trường ca gồm 4 phần: ""Burnt Norton, East Coker, The Dry Salvages và Little Gidding "" của nhà thơ Mỹ đoạt giải Nobel Văn học năm 1948 T. S. Eliot.",Bốn khúc tứ tấu,T. S. Eliot
"Ngồi khóc trên cây là một tiểu thuyết dành cho thanh thiếu niên của nhà văn Nguyễn Nhật Ánh, xuất bản lần đầu tại Việt Nam vào ngày 27 tháng 6 năm 2013 bởi Nhà xuất bản Trẻ, với phần tranh minh họa do Đỗ Hoàng Tường thực hiện.",Ngồi khóc trên cây,Nguyễn Nhật Ánh
"""Ole Lukøje"" là một câu chuyện cổ tích văn học của Hans Christian Andersen dựa trên một câu chuyện dân gian của một sinh vật huyền thoại bí ẩn được gọi là Sandman, người nhẹ nhàng đưa những đứa trẻ vào giấc ngủ, và tùy thuộc vào đứa trẻ đó tốt hay xấu, ông cho chúng thấy những giấc mơ khác nhau.",Ole Lukøje,Hans Christian Andersen
"Liễu Nghị truyện - hoặc Liễu Nghị truyền thư, Động Đình linh nhân truyện, Động Đình tình ký - là nhan đề một truyền kỳ của tác giả Lý Triều Uy, sáng tác khoảng triều Đường Cao Tông.",Liễu Nghị truyện,Lý Triều Uy
"Mio, con trai ta là một tác phẩm của nhà văn Astrid Lindgren.","Mio, con trai ta",Astrid Lindgren
"Những cuộc phiêu lưu của Pinocchio, được xuất bản năm 1883, là cuốn tiểu thuyết dành cho thiếu nhi của tác giả người Ý Carlo Lorenini dưới bút danh Carlo Collodi.",Những cuộc phiêu lưu của Pinocchio,Carlo Collodi
"""Cuộc điều tra màu đỏ"""", tiếng Anh: A Study in Scarlet""') là một tiểu thuyết trinh thám của nhà văn người Scotland Arthur Conan Doyle.",Cuộc điều tra màu đỏ,Arthur Conan Doyle
